*** 1 - 10 (/course/185945/spanish-adjectives/1/)	
primero	primary
reciente	"recent, new, fresh"
dirigido	"guided/directed at, remote controlled"
*** 131 - 140 (/course/185945/spanish-adjectives/14/)	
responsable	"responsible, liable, in charge"
dicho	"already said, already stated, said"
básico	basic
hermoso	"beautiful, lovely, handsome"
elevado	"elevated, high, lofty"
argentino	"Argentinean, argentine, Argentinian"
excelente	"excellent, superb, wonderful"
mínimo	"minimal, minimum, least"
parlamentario	"parliamentary, parliamentarian"
inmediato	"immediate, instant, near"
*** 141 - 150 (/course/185945/spanish-adjectives/15/)	
clásico	"classical, classic, traditional"
inferior	"inferior, lower, less"
vasco	Basque
fiscal	"fiscal, tax, financial"
urbano	urban; courteous
compuesto	"composite, composed, compound"
griego	"Greek, Grecian"
judicial	"judicial, judiciary"
extranjero	foreign
romano	Roman
*** 151 - 160 (/course/185945/spanish-adjectives/16/)	
cerrado	"closed, shut, close"
establecido	"established, set"
puesto	"placed, set"
cristiano	Christian
administrativo	"administrative, managerial, office"
definitivo	"definitive, final, ultimate"
fundado	"founded, based, established"
rojo	red
oscuro	"obscure, dim, dark"
breve	"brief, short, dainty"
*** 161 - 170 (/course/185945/spanish-adjectives/17/)	
científico	scientific
entero	"entire, whole, complete"
nombrado	"famous, noted, with a name"
puro	"pure, fresh, raw"
técnico	technical
constante	"constant, continual, persevering"
extraño	"strange, weird, odd"
evidente	"evident, obvious, apparent"
construido	"constructed, built"
eléctrico	"electrical, electric, highly-strung"
*** 171 - 180 (/course/185945/spanish-adjectives/18/)	
electrónico	"electronic, electron, electric"
chileno	Chilean
occidental	"western, occidental, west"
previo	"previous, prior, initial"
poderoso	"powerful, mighty, potent"
cubierto	"covered, overcast"
italiano	Italian
azul	blue
inglés	"English, English-style, Englishwoman"
eficaz	"effective, efficient, efficacious"
*** 181 - 190 (/course/185945/spanish-adjectives/19/)	
obligado	"obliged, bound"
izquierdo	"leftist, left, left-hand"
peligroso	"dangerous, hazardous, perilous"
global	global
literario	literary
útil	"utile, useful, usable"
norteamericano	"North American, American, US"
laboral	"labour-related, working, occupational"
artístico	artistic
deportivo	"sports-related, sporty, sporting"
*** 191 - 200 (/course/185945/spanish-adjectives/20/)	
correcto	"correct, proper, right"
diario	"daily, everyday, day-to-day"
armado	"armed, equipped"
americano	American
destacado	"outstanding, prominent, important"
habitual	"habitual, regular, usual"
terrible	terrible
colectivo	collective
noble	noble
disponible	"available, disposable, free to use"
*** 201 - 210 (/course/185945/spanish-adjectives/21/)	
organizado	organized
citado	cited
rural	rural
falso	"fake, false"
autónomo	"autonomous, freelance"
extraordinario	extraordinary
significativo	"significant, meaningful,"
desconocido	"unknown, strange, unfamiliar"
israelí	Israeli
legislativo	legislative
*** 211 - 220 (/course/185945/spanish-adjectives/22/)	
unido	"united, attached, joined"
continuo	"continuous, continuing"
espiritual	spiritual
notable	"notable, remarkable, noticeable"
parecido	"similar, alike, such"
firme	"firm, steady, strong"
débil	"weak, faint, feeble"
dado	"given, inclined, prone"
femenino	"female, feminine, effeminate"
bello	"beautiful, fair, handsome"
*** 221 - 230 (/course/185945/spanish-adjectives/23/)	
ligero	"lightweight, light, faint"
triste	"sad, dreary, unhappy"
afectado	"affected, influenced, damaged"
loco	crazy; crazed
japonés	Japanese
universal	universal
terrorista	"terrorist, terrorising"
perfecto	perfect; complete
divino	divine
celebrado	"celebrated, famous"
*** 231 - 240 (/course/185945/spanish-adjectives/24/)	
químico	chemical
integrado	integrated
seco	"dry, dried, blank"
supuesto	"supposed, alleged, assumed"
ilegal	"illegal, unlawful"
sentado	"seated, sitting"
limitado	"limited, restricted"
típico	typical
dedicado	"dedicated, devoted"
intenso	"intense, intensive, fierce"
*** 241 - 250 (/course/185945/spanish-adjectives/25/)	
católico	Catholic
efectivo	"effective, actual"
convencido	convinced
presentado	"presented, displayed"
secundario	"secondary, supporting"
fijo	"fixed, regular, permanent"
ocupado	"occupied, busy, engaged"
inmenso	immense
auténtico	"authentic, real, true"
infantil	"infantile, childish"
*** 251 - 260 (/course/185945/spanish-adjectives/26/)	
mental	mental
frecuente	"frequent, prevalent, common"
brillante	"brilliant, bright"
palestino	Palestinian
violento	violent
tranquilo	"tranquil; quiet, calm"
reconocido	"recognised, famous, grateful"
energético	energetic
presupuestario	budgetary
tomado	taken; drunk; upset
*** 261 - 270 (/course/185945/spanish-adjectives/27/)	
productor	producing
múltiple	"multiple, numerous, manifold"
raro	"rare, odd, unusual"
enemigo	"enemy, opposing, adversarial"
digno	"worthy, deserving, dignified"
educativo	"educational, educative, education"
alternativo	"alternative, alternating"
pesado	"heavyweight, heavy, burdensome"
sanitario	sanitary
oculto	"occult, hidden"
*** 271 - 280 (/course/185945/spanish-adjectives/28/)	
ancho	"wide, broad, large"
usado	"used, worn out, tired"
dividido	"divided, split"
titulado	"graduate, qualified, entitled"
seguido	"continued, followed, non-stop"
territorial	territorial
conservador	conservative
negativo	"negative, adverse"
presidencial	presidential
creciente	"growing, increasing, rising"
*** 281 - 290 (/course/185945/spanish-adjectives/29/)	
favorable	"favorable, pro, advantageous"
futuro	future
portugués	Portuguese
probable	"probable, likely, probable"
asociado	"associate, associated"
frío	"cold, chilly, cool"
estratégico	strategic
definido	"defined, definite"
geográfico	"geographical, geographic"
debido	"due, owing"
*** 291 - 300 (/course/185945/spanish-adjectives/30/)	
institucional	institutional
eterno	"eternal, everlasting"
dulce	"sweet; gentle, tender"
primario	"primary, prime, number one"
universitario	"university(related), academic"
medio	"average, mid, middle"
masivo	"massive, huge"
considerable	"considerable, substantial; sizeable"
estructural	structural
brasileño	Brazilian
*** 301 - 310 (/course/185945/spanish-adjectives/31/)	
variable	"variable, moody, changeable"
aéreo	"aerial, air, overhead"
decisivo	"decisive, vital, deciding"
peruano	Peruvian
ejemplar	"exemplary, admonitory, model"
cuarto	fourth
ajeno	"alien, unaware, ignorant"
medioambiental	environmental
marcado	"marked, strong, sharp"
vital	"vital, life, full of life"
*** 311 - 320 (/course/185945/spanish-adjectives/32/)	
solitario	"lonely, solitary, alone"
desarrollado	"developed, industrialised"
rodeado	surrounded
integrante	"integral, built-in, member"
diplomático	"diplomatic, politic, tactful"
digital	"digital, finger"
extra	"high quality, extra"
satisfecho	"satisfied, pleased, content"
matemático	mathematical
escaso	"scarce, low, sparse"
*** 321 - 330 (/course/185945/spanish-adjectives/33/)	
cubano	Cuban
respectivo	"respective, corresponding"
cuadrado	"square, stocky, brawny"
paralelo	"parallel, similar"
turístico	"tourist, tour"
condenado	"condemned, convicted, doomed"
lento	"slow, sluggish"
académico	academic
revolucionario	revolutionary
operativo	"operational, operating"
*** 331 - 340 (/course/185945/spanish-adjectives/34/)	
colombiano	Colombian
fiel	"true, loyal, faithful"
maestro	master
magnífico	"magnificent, marvelous, grand"
especializado	"specialized, specialist, trained"
musulmán	"Moslem, Muslim, Mussulman"
extenso	"extensive, vast, large"
enviado	sent
separado	"separate, detached, separated"
tecnológico	technological
*** 341 - 350 (/course/185945/spanish-adjectives/35/)	
perdido	"lost, missing, libertine"
comunista	communist
preparado	"ready, prepared, trained"
opuesto	"opposite, opposed, contrary"
sagrado	"holy, sacred, sanctuary"
interesado	"interested, concerned, self-interested"
elaborado	"elaborated, elaborate, thorough"
africano	African
masculino	"male, masculine, manly"
exacto	"accurate, precise, exact"
*** 351 - 360 (/course/185945/spanish-adjectives/36/)	
casado	"married, wedded"
delicado	"delicate, subtle, dainty"
fino	"fine, thin, slender"
abandonado	"abandoned, deserted, derelict"
detenido	"detained, arrested, thorough"
inútil	"useless, pointless, helpless"
liberal	"liberal, open"
derivado	"derived, derivative, secondary"
suave	"soft, mild, gentle"
lejano	"far, distant, farther"
*** 361 - 370 (/course/185945/spanish-adjectives/37/)	
extremo	"extreme, end, far"
parcial	"partial, part, biased"
estricto	"strict, severe, tight"
estrecho	"close, narrow, small"
contemporáneo	"contemporary, contemporaneous, modern"
sueco	"Swedish, Swede"
catalán	"Catalan, Catalonian"
protegido	"protected, sheltered"
mero	"mere, sheer, pure"
excesivo	"excessive, unreasonable, undue"
*** 371 - 380 (/course/185945/spanish-adjectives/38/)	
gubernamental	"governmental, loyalist"
inteligente	"intelligent, smart, clever"
vigente	"in force, valid, current"
presunto	"alleged, presumed, presumptive"
voluntario	"voluntary, gladly, willingly"
sensible	"sensitive, sentient, feeling"
vano	"vain, idle, empty"
humanitario	"humanitarian, humane"
complejo	"complex, composed of various (or: multiple) parts, complicated"
desnudo	"bare, naked, nude"
*** 381 - 390 (/course/185945/spanish-adjectives/39/)	
aplicado	"applied, diligent, dedicated"
turco	Turkish
oportuno	"timely, opportune, appropriate"
herido	"wounded, injured"
registrado	registered
gris	"gray, mediocre, uninteresting"
secreto	"secret, hidden"
aislado	"isolated, secluded, insulated"
autonómico	"autonomic, autonomous"
doméstico	"domestic, household, home"
*** 391 - 400 (/course/185945/spanish-adjectives/40/)	
apropiado	"proper, appropriate, suitable"
fresco	"cool, fresh, crisp"
curioso	"curious, inquisitive, intriguing"
limpio	"clean, fair, clear"
avanzado	"advanced, modern, forward-thinking"
dirigente	"leading, ruling, managing"
uniforme	"even, uniformed, uniform"
climático	"climatic, weather, climate"
célebre	"celebrated, famous, notorious"
indígena	"native, indigenous, Indian"
*** 401 - 410 (/course/185945/spanish-adjectives/41/)	
gráfico	"graphic, graphical"
mortal	"fatal, mortal, deadly"
urgente	"urgent, pressing, imperative"
republicano	republican
localizado	located
sólido	"solid, strong, sound"
amarillo	"yellow, yellowy"
santo	"saint, holy, saintly"
dramático	dramatic
venezolano	Venezuelan
*** 411 - 420 (/course/185945/spanish-adjectives/42/)	
estable	"stable, steady, set"
consumidor	consuming
provincial	provincial
soviético	Soviet
mediano	"medium, median, average"
obligatorio	"obligatory, binding, mandatory"
criminal	"criminal, crime"
conjunto	"whole, joint"
semejante	"similar, like, such"
expuesto	"exposed, displayed, dangerous"
*** 421 - 430 (/course/185945/spanish-adjectives/43/)	
animado	"lively, animated, upbeat"
preso	"overcome, blinded, overwhelmed"
empresarial	"corporate, company, business"
productivo	"productive, of production, fruitful"
dorado	"golden, gilt, gilded"
electo	"selected, -elect"
espacial	"spatial, space"
ciego	"blind, blocked"
obrero	"working class, worker"
polaco	"Polish, polaco, Polack"
*** 431 - 440 (/course/185945/spanish-adjectives/44/)	
filosófico	"philosophical, philosophic"
propuesto	proposed
variado	"varied, mixed, diverse"
franco	"frank, blunt, honest"
artificial	"artificial, unnatural, stiff"
medieval	"medieval, mediaeval"
nervioso	"nervous, nerve, jittery"
poético	"poetic, poetical, beautiful"
misterioso	"mysterious, uncanny, eerie"
legítimo	"legitimate, rightful, genuine"
*** 441 - 450 (/course/185945/spanish-adjectives/45/)	
propietario	proprietor
reducido	"reduced, narrow, limited"
convertido	"converted, turned"
mecánico	"mechanic, mechanical"
partidario	"partisan, follower, supportive"
orgulloso	"proud, prideful, vain"
cotidiano	"daily, quotidian, everyday"
vendido	sold
lógico	"logic, logical, logician"
prohibido	"prohibited, forbidden, barred"
*** 451 - 460 (/course/185945/spanish-adjectives/46/)	
equivalente	"equivalent, tantamount, equal"
inocente	"innocent, blameless, guiltless"
intermedio	"intermediate, middle, medium"
latino	"Latin, lateen, Lazian"
agudo	"sharp, acute, high"
mágico	"magical, magic, magician"
íntimo	"close, intimate, personal"
sano	"healthy, wholesome, good"
mutuo	"mutual, reciprocal"
consecutivo	"consecutive, successive, sequential"
*** 461 - 470 (/course/185945/spanish-adjectives/47/)	
favorito	"favorite, favourite"
ecológico	"ecological, ecologic, organic"
pasajero	"temporary, fleeting"
conveniente	"convenient, suitable, appropriate"
bonito	"beautiful, nice, pretty"
combustible	combustible
humilde	"humble, poor, low"
genético	"genetic, geneticist"
pacífico	"Pacific, peaceful, peaceable"
indispensable	"essential, indispensable, necessary"
*** 471 - 480 (/course/185945/spanish-adjectives/48/)	
grueso	"thick, coarse, heavy"
pesquero	"fishing boat, fishing"
egipcio	Egyptian
cruel	"cruel, heartless, brutal"
exitoso	successful
colocado	"laid, located, settled"
juvenil	"juvenile, youthful, young"
étnico	ethnic
ordinario	"ordinary, regular, coarse"
marroquí	Moroccan
*** 481 - 490 (/course/185945/spanish-adjectives/49/)	
diverso	"miscellaneous, different, diverse"
inspirado	inspired
cansado	"tired, wearing, weary"
arqueológico	"archeological, archaeological"
idéntico	"identical, same, like"
preocupado	"worried, concerned, troubled"
recibido	"received, taken"
cuerdo	"sane, right, rational"
mediterráneo	"Mediterranean, landlocked, mediterranean"
biológico	"biological, biologic, organic"
*** 491 - 500 (/course/185945/spanish-adjectives/50/)	
expresado	voiced
húmedo	"moist, wet, humid"
emitido	issued
dotado	"gifted, talented, equipped"
entregado	"delivered, dedicated, zealous"
exclusivo	"exclusive, sole, unique"
nocturno	"night, nocturnal, nightly"
lateral	"lateral, side, sideways"
oral	oral
severo	"severe, hard, stern"
*** 501 - 510 (/course/185945/spanish-adjectives/51/)	
natal	"native, natal, home"
culpable	"guilty, culpable, responsible"
orgánico	organic
transparente	"transparent, clear, blind"
generoso	"generous, bountiful, rich"
originario	"original, native to, primary"
psicológico	"psychological, psychologic"
excepcional	"exceptional, outstanding, extraordinary"
fronterizo	"border, frontier"
convocado	"announce, call, convene"
*** 511 - 520 (/course/185945/spanish-adjectives/52/)	
competitivo	competitive
monetario	"monetary, financial"
rechazado	"rejected, dismissed"
madrileño	Madrilenian
teórico	"theoretician, theoretical"
alado	winged
supremo	"supreme, paramount, last"
séptimo	seventh
precioso	"lovely, precious, beautiful"
maravilloso	"wonderful, amazing, marvelous"
*** 521 - 530 (/course/185945/spanish-adjectives/53/)	
cinematográfico	"cinematographic, cinematic, film"
valioso	"valuable, useful, appreciated"
válido	"valid, available, favorite"
irregular	"irregular, uneven, changeable"
ferroviario	"railway, rail"
latinoamericano	"Latin American, Latin-American"
absurdo	"absurd, ridiculous, nonsensical"
gigante	"giant, gigantic, huge"
informativo	"informative, news, information"
simbólico	"symbolic, symbolical, token"
*** 531 - 540 (/course/185945/spanish-adjectives/54/)	
gratuito	"free, gratuitous, free of charge"
islámico	Islamic
infinito	"infinite, endless, boundless"
vertical	"vertical, upright"
cargado	"loaded, laden, heavy"
metálico	"metallic, metal"
visual	visual
primo	prime
progresivo	"progressive, forward, gradual"
recogido	"isolated, withdrawn, gathered together"
*** 541 - 550 (/course/185945/spanish-adjectives/55/)	
belga	Belgian
ligado	"tied, bound, attached"
destruido	destroyed
rebelde	"rebellious, refractory, insurgent"
representativo	"representative, emblematic, characteristic"
alejado	"distant, remote, far"
sucesivo	"successive, following"
liberado	"released, liberated, freed"
gordo	"fat, thick, plump"
envuelto	"wrapped, involved, shrouded"
*** 551 - 560 (/course/185945/spanish-adjectives/56/)	
detallado	"detailed, full, in-depth"
pálido	"pale, white, pallid"
ideológico	ideological
crucial	"crucial, key, cruciform"
telefónico	"telephone, telephonic"
atractivo	"sexy, attractive, alluring"
encontrado	"opposite, facing each other, mixed"
nativo	"native, indigenous, local"
delantero	"forward, front, leading"
lanzado	"hurled, bold, impetuous"
*** 561 - 570 (/course/185945/spanish-adjectives/57/)	
feo	"ugly, unsightly, nasty"
concedido	granted
racional	"rational, logical, sensible"
coherente	"coherent, consistent"
asiático	"Asian, Asiatic"
sincero	"sincere, honest, candid"
constructivo	"constructive, structural"
marino	"sea, marine, navy blue"
dependiente	"dependent, depending, disabled"
reunido	"gathered, joined, assembled"
*** 571 - 580 (/course/185945/spanish-adjectives/58/)	
holandés	Dutch
insuficiente	"insufficient, inadequate"
sistemático	systematic
mediado	"half-full, half-empty"
forzado	"forced, forcible, strained"
sorprendente	"surprising, astonishing, astounding"
sucio	"dirty, grubby, dingy"
expulsado	expelled
sexto	sixth
romántico	romantic
*** 581 - 590 (/course/185945/spanish-adjectives/59/)	
ácido	"acid, acidic, sour"
inaceptable	unacceptable
elegido	elected
campesino	"rural, rustic, country"
equilibrado	"equilibrated, balanced, well-adjusted"
ambicioso	"ambitious, overambitious"
cómico	"comic, comical, funny"
complementario	"complementary, supplementary, extra"
moderado	"moderate, measured, restrained"
remoto	"remote, far, distant"
*** 591 - 600 (/course/185945/spanish-adjectives/60/)	
vocal	vocal
ejecutivo	"executive, managing"
material	"material, bodily, physical"
horizontal	"horizontal, horizontal position, horizonal"
defensivo	defensive
poblado	"populated, inhabited"
bancario	banking
comprometido	"committed, involved, dangerous"
quinto	fifth
vegetal	"vegetable, vegetal"
*** 601 - 610 (/course/185945/spanish-adjectives/61/)	
explosivo	"explosive, plosive"
pintado	"painted, painting, coating"
espectacular	"spectacular, dramatic"
enamorado	"in love, enamored, lover"
identificado	identified
agrario	"agrarian, land, rural"
anunciado	announced
caro	"pricey, expensive, costly"
mixto	"mixed, joint, combination"
subterráneo	"underground, subterranean"
*** 611 - 620 (/course/185945/spanish-adjectives/62/)	
barato	"cheap, inexpensive, easy"
danés	Danish
elegante	"elegant, stylish, chic"
leve	"slight, mild, light"
inevitable	"unavoidable, inevitable, inescapable"
gótico	"Gothic, gothic"
vasto	"vast, extensive, wide"
trágico	"tragic, tragedian"
impreso	printed
delgado	"thin, slim, slender"
*** 621 - 630 (/course/185945/spanish-adjectives/63/)	
naval	naval
repetido	"repeated, duplicate"
serbio	"Serbian, Serb"
satisfactorio	"satisfying, satisfactory"
soberano	"sovereign, heavy, extreme"
confuso	"confused, fuzzy, blurred"
flexible	"flexible, supple, floppy"
ordenado	"tidy, ordered, orderly"
televisivo	"television, televisual, TV"
restante	"remaining, left over"
*** 631 - 640 (/course/185945/spanish-adjectives/64/)	
sordo	"deaf, dull, muted"
informático	computer
modesto	"modest, poor"
flamenco	"Flemish, charming, insolent"
declarado	"declared, avowed, confessed"
riguroso	"rigorous, strict, tight"
autorizado	"authorized, licensed, authoritative"
sonoro	"talking, resounding, loud"
potente	"powerful, potent, virile"
automático	"automatic, self-winding, instinctive"
*** 641 - 650 (/course/185945/spanish-adjectives/65/)	
suizo	Swiss
castellano	"Spanish, from Castile"
sospechoso	"suspect, fishy, suspicious"
clínico	"clinical, clinic"
prudente	"cautious, wise, prudent"
sorprendido	"surprised, startled, shocked"
uruguayo	Uruguayan
atento	"attentive, careful, helpful"
silencioso	"silent, quiet, noiseless"
austriaco	Austrian
*** 651 - 660 (/course/185945/spanish-adjectives/66/)	
temprano	early
lingüístico	"language, linguistic"
impuesto	"imposed, exacted"
injusto	"unjust, unfair, wrongful"
desesperado	"hopeless, desperate, in despair"
obvio	obvious
diseñado	designed
costero	"coastal, seaside"
amable	"kind, friendly, pleasant"
normativo	normative
*** 661 - 670 (/course/185945/spanish-adjectives/67/)	
tremendo	"tremendous, terrific, awful"
ganador	"winning, victorious"
demográfico	demographic
honrado	"honest, honored, upright"
canadiense	Canadian
cálido	"warm, hot, warm-hearted"
invisible	"unseen, invisible"
amoroso	"loving, affectionate, amorous"
marítimo	"sea, maritime, seaborne"
bruto	"brutish, crude, rude"
*** 671 - 680 (/course/185945/spanish-adjectives/68/)	
sabio	"wise, sage, learned"
escondido	"secret, hidden, remote"
reservado	"reserved, secretive, quiet"
redondo	"round, circular, rotund"
crudo	"raw, crude, green"
amargo	"bitter, negative, sugarless"
deseado	"desired, wanted"
táctico	tactical
gigantesco	"giant, gigantic, mammoth"
óptico	"optical, optic"
*** 681 - 690 (/course/185945/spanish-adjectives/69/)	
eclesiástico	"ecclesiastical, church, ecclesiastic"
creativo	"creative, inventive, idea man"
inmóvil	"motionless, still, immobile"
increíble	"incredible, unbelievable, amazing"
objetivo	"objective, unbiased"
mudo	"silent, dumb, mute"
flaco	"skinny, thin, gaunt"
innumerable	"innumerable, numberless"
esperado	"expected, hoped, awaited"
indirecto	indirect
*** 691 - 700 (/course/185945/spanish-adjectives/70/)	
mineral	mineral
prolongado	"prolonged, long, lengthy"
dinámico	"dynamic, dynamical"
petrolero	"oil, petroleum, oil company"
barroco	"baroque, over-elaborate, ornate"
cómodo	"comfortable, convenient, easy"
dominado	dominated
generalizado	"generalized, widespread, of common usage"
superficial	"shallow, superficial, perfunctory"
compatible	compatible
*** 701 - 710 (/course/185945/spanish-adjectives/71/)	
australiano	"Australian, Aussie"
pertinente	"pertinent, relevant, applicable"
guerrillero	guerrilla
estadístico	"statistical, statistic"
lamentable	"lamentable, shabby, regrettable"
térmico	thermal
entrado	joined
participante	"participant, contestant"
ficticio	"fictitious, fictional, assumed"
referido	referred
*** 711 - 720 (/course/185945/spanish-adjectives/72/)	
dormido	"sleeping, asleep, dopey"
comparado	"compared, comparative"
crónico	"chronic, long-term, die-hard"
amistoso	"friendly, amicable"
silvestre	"wild, indigenous, native"
mayoritario	majority
trasero	"rear, back, hind"
arquitectónico	"architectural, architectonic"
inesperado	unexpected
desaparecido	"missing, extinct, missing person"
*** 721 - 730 (/course/185945/spanish-adjectives/73/)	
irlandés	Irish
cruzado	"cross, crossed, crossbred"
discográfico	recording
indicado	"indicated, specified, appropriate"
asignado	earmarked
virtual	virtual
olímpico	"Olympic, Olympian"
prioritario	"critical, imperative, of first importance"
tierno	"tender, gentle, kind"
asturiano	Asturian
*** 731 - 740 (/course/185945/spanish-adjectives/74/)	
generado	generated
audiovisual	audiovisual
solemne	"solemn, dignified, formal"
narrativo	narrative
magnético	magnetic
tonto	"foolish, silly, fool"
elemental	"elemental, elementary, basic"
compartido	shared
vecino	"neighboring, neighbor, near"
consistente	"consistent, strict"
*** 741 - 750 (/course/185945/spanish-adjectives/75/)	
involucrado	"involved, implicated"
patronal	Cierre patronal = lockout
materno	"native, maternal"
seleccionado	selected
rubio	"blond, fair, blonde"
prestigioso	"prestigious, renowned, well-regarded"
retirado	"retired, withdrawn, secluded"
urbanístico	urban
centrado	"centered, well balanced, balanced"
nazi	Nazi
*** 751 - 760 (/course/185945/spanish-adjectives/76/)	
equivocado	"wrong, mistaken, misguided"
montañoso	"mountainous, hilly, highland"
agresivo	"aggressive, virulent, injurious"
abstracto	"abstract, nonfigurative"
luminoso	"luminous, bright, lighting"
lindo	"cute, nice, beautiful"
pasivo	"passive, non-participating, unadventurous"
conectado	connected
denso	"dense, thick, heavy"
doloroso	"painful, grievous, distressing"
*** 761 - 770 (/course/185945/spanish-adjectives/77/)	
vulgar	"vulgar, ordinary, tacky"
espeso	"thick, deep, dense"
nuboso	"cloudy, gloomy"
impresionante	"impressive, awesome, amazing"
solicitado	"sought after, in demand, popular"
distinguido	"distinguished, elegant, refined"
blando	"soft, mild, limp"
temático	"thematic, topical, topic"
protector	"protective, protecting"
corporal	"bodily, corporal, body"
*** 771 - 780 (/course/185945/spanish-adjectives/78/)	
botánico	"botanic, botanical"
fabricado	manufactured
tendido	"hung out, lying, laid"
funcional	"functional, useful, practical"
rígido	"rigid, stiff, stark"
sutil	"subtle, fine, subtile"
maldito	"fucking, cursed, damn"
ridículo	"ridicule, ridiculous, absurd"
decidido	"decided, determined, resolute"
duradero	"durable, enduring, permanent"
*** 781 - 790 (/course/185945/spanish-adjectives/79/)	
siniestro	"sinister, grim, ominous"
ausente	"absent, out, missing"
espantoso	"frightful, frightening, dreadful"
nulo	"null, void, zero"
mezclado	"blended, mixed, mingled"
tardío	"late, tardy, belated"
descrito	described
inquieto	"restless, uneasy, unquiet"
sustancial	"substantial, healthy, nourishing"
justificado	"justified, righteous, justifiable"
*** 791 - 800 (/course/185945/spanish-adjectives/80/)	
textil	textile
forestal	"forest, forestry"
enérgico	"energetic, strong, spirited"
discreto	"discrete, unobtrusive, discreet"
neto	"net, distinct, clear"
lírico	"lyrical, lyric, poetical"
levantado	"up, stand up"
homónimo	homonymous
minero	mining
despedido	"dismissed, discharged"
*** 801 - 810 (/course/185945/spanish-adjectives/81/)	
hondo	deep
auxiliar	"auxiliary, assistant, ancillary"
encendido	"on, fired, glowing"
extendido	"extended, widespread, issued"
