*** 1 - 10 (/course/187382/spanish-adverbs-7/1/)	
no	"no, not"
abajo	"down, downstairs, downwards"
*** 71 - 80 (/course/187382/spanish-adverbs-7/8/)	
quizás	"maybe, perhaps, possibly"
igualmente	"equally, likewise"
prácticamente	"virtually, practically, in reality"
recientemente	"recently, newly, lately"
nuevamente	"again, once again"
naturalmente	naturally
acaso	"perhaps, maybe"
encima	"over, above, overhead"
absolutamente	"quite, absolutely, utterly"
normalmente	"normally, as normal, as usual"
*** 81 - 90 (/course/187382/spanish-adverbs-7/9/)	
anteriormente	"previously, formerly, beforehand"
cierto	certainly
cerca	"nearby, near, close"
exactamente	"exactly, right, quite"
plenamente	"thoroughly, fully, to the fullest"
particularmente	"personally, particularly, especially"
respectivamente	respectively
fácilmente	"readily, easy, easily"
cuando	"when, whenever, as"
dentro	"inside, within, in"
*** 91 - 100 (/course/187382/spanish-adverbs-7/10/)	
seguramente	"surely, safely, probably"
oficialmente	"officially, formally"
efectivamente	"indeed, really"
recién	"just, freshly, recently"
relativamente	"relatively, comparatively, fairly"
definitivamente	"for good, permanently, definitely"
inicialmente	initially
posiblemente	"maybe, possibly, perhaps"
delante	"before, in front, opposite"
originalmente	originally
*** 101 - 110 (/course/187382/spanish-adverbs-7/11/)	
verdaderamente	"truly, really, genuinely"
suficientemente	"sufficiently, enough, adequately"
profundamente	"deep, deeply, profoundly"
hasta	"up, even, through"
frecuentemente	frequently
ciertamente	"certainly, surely"
evidentemente	"obviously, evidently, patently"
fundamentalmente	"fundamentally, basically, principally"
constantemente	"constantly, continually"
*** 111 - 120 (/course/187382/spanish-adverbs-7/12/)	
necesariamente	necessarily
concretamente	"specifically, in particular"
alrededor	"around, round"
lentamente	slow
personalmente	personally
previamente	previously
anoche	last night
extremadamente	"extremely, exceedingly"
aparentemente	"seemingly, apparently, ostensibly"
sumamente	"highly, extremely, most"
*** 121 - 130 (/course/187382/spanish-adverbs-7/13/)	
pues	"well, then"
acá	"here, hither, now"
ligeramente	"slightly, lightly, light"
parcialmente	"partly, partially"
ampliamente	"thoroughly, totally"
justamente	"just, justly, fairly"
supuestamente	"supposedly, presumably, allegedly"
básicamente	basically
conjuntamente	"jointly, together"
sencillamente	"simply, modestly"
*** 131 - 140 (/course/187382/spanish-adverbs-7/14/)	
fuertemente	"heavily, strongly"
tradicionalmente	traditionally
habitualmente	"habitually, usually"
temprano	"early, soon"
independientemente	"independently, regardless of"
específicamente	specifically
altamente	"highly, extremely, exceedingly"
lamentablemente	"regrettably, pitifully, lamentably"
comúnmente	"commonly, customarily, usually"
continuamente	"continually, continuously, steadily"
*** 141 - 150 (/course/187382/spanish-adverbs-7/15/)	
propiamente	"properly, exactly, correctly"
correctamente	"correctly, properly, rightly"
aparte	"apart, aside, apart from"
libremente	"freely, boldy, audaciously"
esencialmente	essentially
afuera	"outside, out"
considerablemente	considerably
puramente	purely
enteramente	"entirely, fully, quite"
públicamente	publically
*** 151 - 160 (/course/187382/spanish-adverbs-7/16/)	
simultáneamente	"simultaneously, at the same time"
brevemente	"briefly, succinctly, shortly"
enseguida	"immediately, promptly, directly"
seriamente	"seriously, sternly, gravely"
cuán	"how, as"
políticamente	politically
detrás	"behind, back, after"
activamente	actively
literalmente	"literally, verbatim, exactly"
desgraciadamente	"unfortunately, sadly"
*** 161 - 170 (/course/187382/spanish-adverbs-7/17/)	
firmemente	"firmly, steadily"
obviamente	obviously
adentro	"in, indoors"
formalmente	formally
estrictamente	strictly
estrechamente	"intimately, closely, painstakingly"
enormemente	"enormously, immensely, hugely"
despacio	"slowly, slow, gently"
expresamente	"expressly, specifically, on purpose"
abiertamente	"openly, outright, overtly"
*** 171 - 180 (/course/187382/spanish-adverbs-7/18/)	
usualmente	usually
gravemente	"gravely, seriously, badly"
anualmente	"annually, yearly"
permanentemente	permanently
cuidadosamente	"carefully, attentively, heedfully"
enfrente	"opposite, across from, facing"
antiguamente	"once, formerly, in the past"
notablemente	"markedly, notably, noticeably"
donde	"where, wherein"
históricamente	historically
*** 181 - 190 (/course/187382/spanish-adverbs-7/19/)	
económicamente	economically
gradualmente	gradually
buena	"well, so, OK"
sinceramente	"sincerely, heartily, genuinely"
últimamente	"lately, recently, of late"
adecuadamente	"suitably, adequately, appropriately"
debidamente	"due, properly, duly"
difícilmente	"hardly, barely, with difficulty"
eventualmente	"eventually, fortuitously, by chance"
automáticamente	automatically
*** 191 - 200 (/course/187382/spanish-adverbs-7/20/)	
legalmente	legally
mutuamente	"mutually, reciprocally"
antemano	"beforehand, ahead of time, in advance"
excesivamente	"excessively, exceedingly, unduly"
entretanto	"meantime, meanwhile, in the meantime"
extraordinariamente	"extraordinarily, remarkably, uncommonly"
mayoritariamente	"mainly, chiefly, by majority"
sucesivamente	"successively, in turn, in succession"
diariamente	"daily, every day, on a daily basis"
suavemente	"gently, smoothly, softly"
*** 201 - 210 (/course/187382/spanish-adverbs-7/21/)	
indudablemente	"certainly, undoubtedly, doubtlessly"
progresivamente	progressively
regularmente	"regularly, on a regular basis, normally"
afortunadamente	"fortunately, happily, luckily"
temporalmente	"temporarily, temporally"
meramente	"merely, simply"
ocasionalmente	occasionally
paralelamente	concurrently
radicalmente	radically
lógicamente	logically
*** 211 - 220 (/course/187382/spanish-adverbs-7/22/)	
voluntariamente	voluntarily
indirectamente	indirectly
íntegramente	entirely
típicamente	typically
físicamente	physically
popularmente	popularly
fuera	"out, outside, away"
positivamente	positively
francamente	"frankly, bluntly, plainly"
curiosamente	"curiously, with curiosity, curiously enough"
*** 221 - 230 (/course/187382/spanish-adverbs-7/23/)	
ende	"therefore, as a result, consequently"
inevitablemente	inevitably
significativamente	significantly
tranquilamente	"quietly, calmly, serenely"
explícitamente	explicitly
debajo	"below, beneath, under"
bruscamente	"suddenly, sharply, brusquely"
internacionalmente	internationally
intensamente	intensely
sistemáticamente	systematically
*** 231 - 240 (/course/187382/spanish-adverbs-7/24/)	
atentamente	"attentively, carefully, Yours Sincerely"
socialmente	socially
eternamente	"eternally, evermore"
repentinamente	suddenly
mejor	"best, better"
duramente	"harshly, hardly, hard"
primeramente	"first, firstly, first of all"
eficazmente	effectively
mayormente	"mainly, predominantly, principally"
diario	"daily, every day, everyday"
*** 241 - 250 (/course/187382/spanish-adverbs-7/25/)	
técnicamente	technically
gratis	"free, gratis"
raramente	"rarely, seldom"
paulatinamente	"gradually, little by little"
igual	"maybe, perhaps"
antaño	"yesteryear, in the past, formerly"
decididamente	decidedly
favorablemente	favorably
urgentemente	urgently
sustancialmente	substantially
*** 251 - 260 (/course/187382/spanish-adverbs-7/26/)	
súbitamente	suddenly
violentamente	violently
presuntamente	"allegedly, supposedly, presumably"
deliberadamente	"deliberately, intentionally"
enérgicamente	"energetically, strongly, forcibly"
infinitamente	"indefinitely, for ever, again and again"
periódicamente	periodically
adicionalmente	"additionally, further"
alegremente	"happily, joyfully, merrily"
íntimamente	"face to face, thick, inward, closer"
*** 261 - 270 (/course/187382/spanish-adverbs-7/27/)	
cual	as
negativamente	"negatively, adversely, in the negative"
ilegalmente	illegally
potencialmente	potentially
repetidamente	"repeatedly, time and time again"
fijamente	"fixedly, steadily, steadfastly"
próximamente	"shortly, soon"
detenidamente	"carefully, thoroughly, at length"
acertadamente	"opportunely, fitly"
jurídicamente	juridically
*** 271 - 280 (/course/187382/spanish-adverbs-7/28/)	
nada	"at all, nothing at all"
desafortunadamente	unfortunately
consecuentemente	"consequently, consistently, accordingly"
largamente	"long, largely, at length"
tristemente	"gloomily, sadly, sorrowfully"
deprisa	"quickly, rapidly, fast"
erróneamente	"erroneously, mistakenly"
levemente	"lightly, gently"
individualmente	"individually, singly"
seguidamente	"next, straightaway"
*** 281 - 290 (/course/187382/spanish-adverbs-7/29/)	
mentalmente	"mentally, by heart, from memory"
vivamente	"vividly, lively"
forzosamente	"necessarily, perforce, by force"
preferentemente	"preferentially, preferably"
juntamente	"jointly, at the same time, conjunctively"
eminentemente	eminently
excepcionalmente	exceptionally
alternativamente	"alternately, alternatively"
conscientemente	consciously
oportunamente	"at the appropriate time, opportunely, when opportune"
*** 291 - 300 (/course/187382/spanish-adverbs-7/30/)	
desesperadamente	"desperately, despairingly"
severamente	"severely, harshly, sharply"
espontáneamente	spontaneously
mundialmente	"globally, worldwide"
terriblemente	"terribly, deadly, frightfully"
contrariamente	contrary
felizmente	"happily, luckily, fortunately"
vagamente	vaguely
fielmente	"faithfully, truly"
indefinidamente	indefinitely
*** 301 - 310 (/course/187382/spanish-adverbs-7/31/)	
drásticamente	drastically
presumiblemente	presumably
inútilmente	"uselessly, needlessly, vainly"
reiteradamente	"repeatedly, reiteratedly"
secretamente	secretly
predominantemente	predominantly
teóricamente	theoretically
moralmente	morally
artificialmente	artificially
accidentalmente	"accidentally, unintentionally"
*** 311 - 320 (/course/187382/spanish-adverbs-7/32/)	
previsiblemente	predictedly
sobremanera	"exceedingly, extremely, greatly"
razonablemente	reasonably
gratuitamente	"free, for free, free of charge"
paradójicamente	paradoxically
virtualmente	virtually
rotundamente	"roundly, emphatically, completely"
visiblemente	visibly
brutalmente	"brutally, roughly"
administrativamente	administratively
*** 321 - 330 (/course/187382/spanish-adverbs-7/33/)	
originariamente	originally
sensiblemente	"noticeably, sorely, grievously"
unánimemente	unanimously
tremendamente	tremendously
internamente	internally
injustamente	"unfairly, unjustly"
localmente	locally
irónicamente	ironically
geográficamente	geographically
pacíficamente	"peaceably, pacifically, peacefully"
*** 331 - 340 (/course/187382/spanish-adverbs-7/34/)	
precipitadamente	"hastily, headlong"
detalladamente	"in detail, down to the last detail"
generosamente	generously
casualmente	by chance
instantáneamente	"instantly, immediately"
solemnemente	solemnly
convenientemente	"conveniently, suitably"
momentáneamente	"momentarily, for a moment"
netamente	clearly
militarmente	militarily
*** 341 - 350 (/course/187382/spanish-adverbs-7/35/)	
científicamente	scientifically
extensamente	"widely, extensively, wide"
increíblemente	incredibly
rigurosamente	firmly
sexualmente	sexually
escasamente	"scarcely, sparingly, barely"
masivamente	"on a massive scale, en masse"
provisionalmente	provisionally
sorprendentemente	surprisingly
apresuradamente	"hurriedly, hastily"
*** 351 - 360 (/course/187382/spanish-adverbs-7/36/)	
derecho	"right, straight"
minuciosamente	"meticulously, minutely"
objetivamente	"objectively, factually"
universalmente	universally
unilateralmente	unilaterally
dulcemente	"gently, sweetly, softly"
discretamente	discreetly
satisfactoriamente	satisfactorily
globalmente	globally
encarecidamente	"insistently, urgently"
*** 361 - 370 (/course/187382/spanish-adverbs-7/37/)	
extrañamente	"oddly, strangely"
inesperadamente	"unexpectedly, suddenly"
inconscientemente	"unconsciously, unwittingly"
grandemente	greatly
comercialmente	commercially
profesionalmente	professionally
doquier	"all around, everywhere"
genéticamente	genetically
silenciosamente	"silently, quietly, soundlessly"
pesadamente	heavily
*** 371 - 380 (/course/187382/spanish-adverbs-7/38/)	
respetuosamente	respectfully
invariablemente	invariably
recíprocamente	reciprocally
puntualmente	"promptly, duly, punctually"
instintivamente	"instinctively, naturally"
colectivamente	collectively
anteayer	"day before yesterday, the day before yesterday"
dondequiera	"anywhere, wherever"
incesantemente	"incessantly, unceasingly"
textualmente	literally
*** 381 - 390 (/course/187382/spanish-adverbs-7/39/)	
cuan	"as, how"
manifiestamente	manifestly
primordialmente	"basically, fundamentally"
cómodamente	"comfortably, snugly, in comfort"
simbólicamente	symbolically
involuntariamente	involuntarily
ricamente	richly
doblemente	doubly
singularmente	"singularly, peculiarly, oddly"
amargamente	bitterly
*** 391 - 400 (/course/187382/spanish-adverbs-7/40/)	
culturalmente	culturally
débilmente	weakly
máxime	"principally, especially, all the more since"
tímidamente	"timidly, shyly"
resueltamente	resolutely
sabiendas	"knowingly, wittingly, in the full knowledge that"
decisivamente	decisively
democráticamente	democratically
mal	"wrong, ill, poorly"
pocas	"moderately, fairly, somewhat"
*** 401 - 410 (/course/187382/spanish-adverbs-7/41/)	
indistintamente	"equally, indistinctly"
legítimamente	"legitimately, rightfully"
poderosamente	"powerfully, mightily"
admirablemente	admirably
implícitamente	implicitly
hábilmente	"skilfully, skillfully, ably"
allende	"beyond, on the other side"
misteriosamente	"mysteriously, darkly"
cruelmente	"cruelly, viciously"
otrora	"formerly, in bygone days"
*** 411 - 420 (/course/187382/spanish-adverbs-7/42/)	
densamente	"heavily, densely"
separadamente	"separately, severally, apart"
peligrosamente	dangerously
interiormente	"inwardly, internally, inward"
amablemente	"kindly, nicely, amiably"
irremediablemente	inevitably
obligatoriamente	"obligatory, mandatorily"
fríamente	"coldly, stiffly"
milagrosamente	miraculously
mortalmente	"mortally, deadly, fatally"
*** 421 - 430 (/course/187382/spanish-adverbs-7/43/)	
falsamente	falsely
prematuramente	prematurely
materialmente	materially
musicalmente	musically
exitosamente	successfully
marcadamente	markedly
verticalmente	"plumb, endlong, uprightly"
espiritualmente	spiritually
auténticamente	"truly, authentically, genuinely"
categóricamente	"definitely, flatly, positively"
*** 431 - 440 (/course/187382/spanish-adverbs-7/44/)	
aprisa	"quickly, apace, hurriedly"
cariñosamente	"lovingly, dearly, kindly"
proporcionalmente	"proportionately, proportionally"
cabalmente	"exactly, properly, fully"
velozmente	"fast, quickly, swiftly"
inmensamente	"immensely, hugely"
ordinariamente	ordinarily
pacientemente	patiently
arbitrariamente	arbitrarily
maravillosamente	"marvellously, wonderfully, beautifully"
*** 441 - 450 (/course/187382/spanish-adverbs-7/45/)	
matemáticamente	mathematically
humildemente	"humbly, lowly, plainly"
prontamente	"promptly, speedily"
furiosamente	"madly, fiercely"
penosamente	"painfully, arduously, with difficulty"
judicialmente	judicially
clandestinamente	"stealthily, underground"
cierta	certainly
mecánicamente	mechanically
afirmativamente	"affirmatively, positively"
*** 451 - 460 (/course/187382/spanish-adverbs-7/46/)	
horriblemente	"horribly, appallingly, frightfully"
dignamente	"worthily, fittingly, properly"
profusamente	"profusely, lavishly"
abruptamente	abruptly
artísticamente	artistically
financieramente	financially
notoriamente	notoriously
verbalmente	verbally
ciegamente	blindly
inequívocamente	unequivocally
*** 461 - 470 (/course/187382/spanish-adverbs-7/47/)	
moderadamente	moderately
escrupulosamente	scrupulously
indebidamente	"improperly, wrongfully, illegally"
medianamente	"moderately, middingly, meanly"
estadísticamente	statistically
frontalmente	frontally
vulgarmente	vulgarly
intencionadamente	intentionally
insistentemente	insistently
uniformemente	uniformly
*** 471 - 480 (/course/187382/spanish-adverbs-7/48/)	
innecesariamente	unnecessarily
semanalmente	"weekly, every week, each week"
maquinalmente	mechanically
sabiamente	"wisely, knowingly, learnedly"
llanamente	"straightforwardly, simply, adv"
impunemente	with impunity
cautelosamente	"cautiously, gingerly, guardedly"
emocionalmente	emotionally
cordialmente	"cordially, heartily, warmly"
remotamente	"vaguely, slightly, remotely"
*** 481 - 490 (/course/187382/spanish-adverbs-7/49/)	
cronológicamente	chronologically
ininterrumpidamente	"uninterruptedly, continuously"
constitucionalmente	constitutionally
mil	"thousand, one thousand"
ingenuamente	"ingenuously, naively"
vigorosamente	"strongly, vigorously, robustly"
tiernamente	"gently, kindly"
desdeñosamente	"scornfully, contemptuously"
dramáticamente	dramatically
dolorosamente	"painfully, distressingly"
*** 491 - 500 (/course/187382/spanish-adverbs-7/50/)	
visualmente	visually
incondicionalmente	"unconditionally, unreservedly"
manualmente	"manually, by hand"
esporádicamente	sporadically
horizontalmente	horizontally
sobradamente	"excessively, to excess, more than necessary"
abundantemente	"abundantly, lavishly, amply"
equitativamente	equitably
inteligentemente	intelligently
majestuosamente	majestically
*** 501 - 510 (/course/187382/spanish-adverbs-7/51/)	
ultranza	"to the death, to the end"
comparativamente	comparatively
inversamente	inversely
fatalmente	fatally
finamente	finely
indiscutiblemente	"indisputably, undeniably"
tempranamente	"early, prematurely"
incorrectamente	"incorrectly, improperly, wrong"
apasionadamente	"passionately, intensely, fervently"
gustosamente	"tastefully, gladly, acceptably"
*** 511 - 520 (/course/187382/spanish-adverbs-7/52/)	
tácitamente	tacitly
secamente	"dryly, morosely, crabbedly, peevishly"
intelectualmente	intellectually
sólidamente	"solidly, soundly"
superficialmente	"superficially, perfunctorily"
inexorablemente	inexorably
coloquialmente	colloquially
exteriormente	"externally, outward, outwards"
intrínsecamente	intrinsically
racionalmente	rationally
*** 521 - 530 (/course/187382/spanish-adverbs-7/53/)	
tecnológicamente	technologically
preferiblemente	preferably
tajantemente	"sharply, incisively, emphatically"
diametralmente	diametrically
regañadientes	reluctantly
torpemente	"awkwardly, clumsily"
gráficamente	"graphically, pictorially"
ruidosamente	"slapbang, obstreperously"
calurosamente	"warmly, ardently, hotly"
críticamente	critically
*** 531 - 540 (/course/187382/spanish-adverbs-7/54/)	
hondamente	"deeply, profoundly"
equivocadamente	"mistakenly, wrong, misguidedly"
análogamente	analogously
consiguientemente	consequently
cortésmente	"courteously, politely"
honestamente	honestly
eficientemente	efficiently
valientemente	"bravely, courageously, boldly"
ideológicamente	ideologically
apropiadamente	"appropriately, properly, suitably"
*** 541 - 550 (/course/187382/spanish-adverbs-7/55/)	
mensualmente	"monthly, every month, once a month"
modestamente	modestly
estratégicamente	strategically
genuinamente	genuinely
nominalmente	nominally
psicológicamente	psychologically
ansiosamente	"anxiously, hungrily"
anticipadamente	in advance
experimentalmente	experimentally
confusamente	"confusedly, vaguely"
*** 551 - 560 (/course/187382/spanish-adverbs-7/56/)	
despacito	slowly
orgullosamente	proudly
incansablemente	"tirelessly, untiringly"
humanamente	"humanely, humanly"
perpetuamente	perpetually
bruces	with the face to the ground
genéricamente	generically
groseramente	"rudely, vulgarly, nastily"
espléndidamente	splendidly
bajo	"down, low, below"
*** 561 - 570 (/course/187382/spanish-adverbs-7/57/)	
externamente	"externally, outwardly"
verbigracia	"for example, such as"
brillantemente	"brightly, bright"
exageradamente	exaggeratedly
delicadamente	"delicately, softly"
magníficamente	"magnificently, royally, splendidly"
seguro	"sure, for sure, for certain"
sorpresivamente	surprisingly
insensiblemente	insensibly
aisladamente	isolately
*** 571 - 580 (/course/187382/spanish-adverbs-7/58/)	
químicamente	chemically
exhaustivamente	"exhaustively, comprehensively, thoroughly"
ostensiblemente	ostensibly
asiduamente	assiduously
ávidamente	"hungrily, greedily"
intencionalmente	intentionally
ferozmente	"ferociously, fiercely"
descaradamente	"brazenly, shamelessly, openly"
estructuralmente	structurally
informalmente	informally
*** 581 - 590 (/course/187382/spanish-adverbs-7/59/)	
lateralmente	"laterally, sideways"
celosamente	"zealously, eagerly, fervently"
locamente	"madly, immoderately, extravagantly"
comoquiera	however
tardíamente	"late, belatedly"
lastimosamente	"pitifully, pathetically"
pobremente	poorly
prudentemente	prudently
graciosamente	"graciously, gracefully, amusingly"
cualitativamente	qualitatively
*** 591 - 600 (/course/187382/spanish-adverbs-7/60/)	
furtivamente	furtively
etimológicamente	etymologically
mínimamente	minimally
estrepitosamente	"deafeningly, noisily, loudly"
sutilmente	subtly
ardientemente	"ardently, hot, fervently"
magistralmente	masterfully
infructuosamente	"fruitlessly, unsuccessfully, unprofitably"
idealmente	ideally
asombrosamente	"amazingly, astonishingly"
*** 601 - 610 (/course/187382/spanish-adverbs-7/61/)	
frenéticamente	"frantically, frenziedly, furiously"
amistosamente	"friendly, amicably"
honradamente	"honorably, honestly"
oralmente	orally
sigilosamente	"stealthily, secretly, on the sly"
cuclillas	"squatting, crouch"
vilo	"in the air, up in the air, in suspense"
nerviosamente	nervously
tenazmente	tenaciously
terminantemente	strictly
*** 611 - 620 (/course/187382/spanish-adverbs-7/62/)	
cero	zero
deliciosamente	"delightfully, lovely"
trágicamente	tragically
agradablemente	"pleasantly, nicely, agreeably"
obstinadamente	obstinately
indefectiblemente	inevitably
inexplicablemente	inexplicably
quirúrgicamente	surgically
primariamente	primarily
afectuosamente	"affectionately, fondly"
*** 621 - 630 (/course/187382/spanish-adverbs-7/63/)	
perdidamente	"madly, hopelessly in love"
infaliblemente	"infallibly, surely"
familiarmente	familiarly
numéricamente	numerically
serenamente	serenely
toscamente	"roughly, crudely"
espectacularmente	spectacularly
funcionalmente	functionally
prioritariamente	priority
modernamente	modern
*** 631 - 640 (/course/187382/spanish-adverbs-7/64/)	
incomparablemente	"incomparably, beyond compare"
adrede	"intentionally, on purpose"
concienzudamente	thoroughly
desmesuradamente	"disproportionately, excessively"
cotidianamente	daily
irremisiblemente	"irremissibly, irretrievably"
consecutivamente	consecutively
fervientemente	fervently
herméticamente	"hermetically, tightly, tight"
definidamente	definitely
*** 641 - 650 (/course/187382/spanish-adverbs-7/65/)	
interinamente	temporarily
vertiginosamente	"dizzily, giddily"
trabajosamente	laboriously
acullá	"over there, yonder"
primitivamente	"primitively, at first"
hurtadillas	"sneak in, sneak out, sneak around"
conceptualmente	conceptually
intuitivamente	intuitively
peor	"worse, worst"
religiosamente	religiously
*** 651 - 660 (/course/187382/spanish-adverbs-7/66/)	
inusualmente	unusually
empíricamente	empirically
despectivamente	"pejoratively, contemptuously, scornfully"
triunfalmente	triumphantly
cuantitativamente	quantitatively
eléctricamente	electrically
irregularmente	irregularly
amorosamente	"lovingly, affectionately"
similarmente	similarly
salvajemente	"savagely, wildly"
*** 661 - 670 (/course/187382/spanish-adverbs-7/67/)	
miserablemente	miserably
elegantemente	"stylishly, fashionably"
territorialmente	territorially
fugazmente	"briefly, fleetingly"
divinamente	divinely
indiscriminadamente	indiscriminately
meticulosamente	"meticulously, precisely"
reglamentariamente	"in due form, according to the rules"
doquiera	wherever
distintamente	distinctly
*** 671 - 680 (/course/187382/spanish-adverbs-7/68/)	
victoriosamente	victoriously
ordenadamente	orderly
distraídamente	absent-mindedly
aleatoriamente	randomly
heroicamente	heroically
convencionalmente	conventionally
poca	"moderately, fairly, somewhat"
insuficientemente	insufficiently
afablemente	"affably, genially"
bellamente	beautifully
*** 681 - 690 (/course/187382/spanish-adverbs-7/69/)	
disimuladamente	"covertly, secretly"
pasivamente	passively
lindamente	"prettily, daintily"
limpiamente	cleanly
maliciosamente	"maliciously, spitefully, mischievously"
perpendicularmente	perpendicularly
solidariamente	"jointly, mutually"
crecientemente	increasingly
imperiosamente	"imperiously, urgently"
implacablemente	"implacably, relentlessly"
*** 691 - 700 (/course/187382/spanish-adverbs-7/70/)	
pocos	"moderately, fairly, somewhat"
rítmicamente	rhythmically
estúpidamente	stupidly
lealmente	"loyally, faithfully"
substancialmente	substantially
institucionalmente	institutionally
metafóricamente	metaphorically
prestamente	"speedily, promptly, quickly"
digitalmente	digitally
seguido	"directly, straight, frequently"
*** 701 - 710 (/course/187382/spanish-adverbs-7/71/)	
transitoriamente	transitorily
despiadadamente	"cruelly, mercilessly, relentlessly"
vanamente	"vainly, idly"
imperceptiblemente	imperceptibly
contra	against
subrepticiamente	surreptitiously
ulteriormente	"further, beyond"
subsidiariamente	in a subsidiary manner
indisolublemente	indissolubly
industrialmente	industrially
*** 711 - 720 (/course/187382/spanish-adverbs-7/72/)	
penalmente	criminally
filosóficamente	philosophically
incidentalmente	incidentally
quemarropa	at point blank range
biológicamente	biologically
cumplidamente	"completely, complimentally"
enfáticamente	emphatically
rectamente	"aright, fairly, uprightly"
recien	"freshly, recently, newly"
nítidamente	"clearly, sharply"
*** 721 - 730 (/course/187382/spanish-adverbs-7/73/)	
clínicamente	clinically
valerosamente	"bravely, valiantly, courageously"
longitudinalmente	"longitudinally, lengthwise, lengthways"
estupendamente	"terrifically, marvellously, wonderfully"
electoralmente	electorally
pésimamente	"awfully, dreadfully"
gratamente	"graciously, gratefully"
sordamente	"dully, in a muffled way"
extensivamente	extensively
rígidamente	"rigidly, stiffly"
*** 731 - 740 (/course/187382/spanish-adverbs-7/74/)	
calladamente	"quietly, silently"
pausadamente	"slowly, easy, gently"
oblicuamente	"obliquely, slantwise, aslant"
arduamente	arduously
convulsivamente	convulsively
ridículamente	ridiculously
linealmente	linearly
corrientemente	currently
diligentemente	diligently
étnicamente	ethnically
*** 741 - 750 (/course/187382/spanish-adverbs-7/75/)	
transversalmente	"transversely, across"
estéticamente	"aesthetically, esthetically"
exponencialmente	exponentially
electrónicamente	electronically
benévolamente	benevolently
constructivamente	constructively
geológicamente	geologically
inadvertidamente	inadvertently
justificadamente	justifiably
derechamente	"straightly, directly"
*** 751 - 760 (/course/187382/spanish-adverbs-7/76/)	
coherentemente	coherently
copiosamente	"copiously, abundantly, plentifully"
perezosamente	"indolently, lazily"
sentimentalmente	sentimentally
señaladamente	"clearly, distinctly, especially"
aceleradamente	"rapidly, hastily"
ocultamente	"secretly, mysteriously, stealthily"
subjetivamente	subjectively
absurdamente	absurdly
malamente	badly
*** 761 - 770 (/course/187382/spanish-adverbs-7/77/)	
metódicamente	methodically
plácidamente	placidly
anormalmente	abnormally
piadosamente	"mercifully, piously"
lento	"slowly, slow"
vehementemente	"vehemently, fervently, forcibly"
espantosamente	"frightfully, shockingly, terrifyingly"
lastimeramente	"sadly, sorrowfully"
morfológicamente	morphologically
buenamente	"easily, without difficulty, willingly"
*** 771 - 780 (/course/187382/spanish-adverbs-7/78/)	
quedamente	quietly
mágicamente	magically
livianamente	"in a fickle way, frivolously, lewdly"
inherentemente	inherently
melancólicamente	"melancholically, gloomily, moodily"
exquisitamente	exquisitely
afanosamente	"diligently, feverishly"
retrospectivamente	retrospectively
bravamente	"bravely, gamely"
agudamente	"sharply, lively, keenly"
*** 781 - 790 (/course/187382/spanish-adverbs-7/79/)	
excelentemente	excellently
dinámicamente	dynamically
apaciblemente	"mildly, gently"
simétricamente	symmetrically
desproporcionadamente	disproportionately
intermitentemente	intermittently
sumariamente	summarily
